Date,Average Viewers,Peak Viewers,Peak Channels,Peak Players,Game Rank (Total),Game Rank (Esports),Game Updates,Esports Schedule
2016/9/8,-1,-1,-1,-1,Unavailable,Unavailable,,
2016/9/9,-1,-1,-1,-1,Unavailable,Unavailable,,
2016/9/10,-1,-1,-1,-1,Unavailable,Unavailable,,
2016/9/11,82995,305793,Unavailable,Unavailable,Unavailable,Unavailable,,StarLadder i-League StarSeries Season 2
2016/9/12,22544,53319,1392,Unavailable,Unavailable,Unavailable,,
2016/9/13,35004,101125,1263,139900,Unavailable,Unavailable,,
2016/9/14,33752,99134,1245,268952,Unavailable,Unavailable,Update,
2016/9/15,36488,134524,1284,344127,Unavailable,Unavailable,,
2016/9/16,52709,149107,1472,339321,Unavailable,Unavailable,Update,DreamHack Bucharest 2016
2016/9/17,59409,129558,1604,413099,Unavailable,Unavailable,,DreamHack Bucharest 2016
2016/9/18,82882,225130,1417,374718,Unavailable,Unavailable,,DreamHack Bucharest 2016
2016/9/19,30551,70764,1422,290645,Unavailable,Unavailable,,
2016/9/20,36687,112697,1283,288164,Unavailable,Unavailable,,
2016/9/21,35694,88402,1323,288043,Unavailable,Unavailable,Update,
2016/9/22,31619,96628,1610,288667,Unavailable,Unavailable,,
2016/9/23,40581,88750,1577,395370,Unavailable,Unavailable,Update,
2016/9/24,42388,92548,1610,395370,Unavailable,Unavailable,,
2016/9/25,52334,114393,1430,360204,Unavailable,Unavailable,,
2016/9/26,32916,88789,1332,275945,Unavailable,Unavailable,,
2016/9/27,35017,100482,1298,289795,Unavailable,Unavailable,,
2016/9/28,24576,74606,1196,282633,Unavailable,Unavailable,Update,
2016/9/29,23646,51070,1271,286696,Unavailable,Unavailable,,
2016/9/30,52564,153417,1483,340338,Unavailable,Unavailable,,ESL One: New York 2016
2016/10/1,82400,241881,1518,395910,Unavailable,Unavailable,,ESL One: New York 2016
2016/10/2,129061,3360743,1310,363810,Unavailable,Unavailable,,ESL One: New York 2016
2016/10/3,49178,184530,1315,291168,Unavailable,Unavailable,,
2016/10/4,33211,115191,1387,287707,Unavailable,Unavailable,,
2016/10/5,28646,99174,1303,288836,Unavailable,Unavailable,,
2016/10/6,44512,120761,1424,288011,Unavailable,Unavailable,Update,
2016/10/7,34215,81830,1573,359989,Unavailable,Unavailable,,
2016/10/8,56027,130917,1577,408058,Unavailable,Unavailable,,
2016/10/9,52251,113660,1428,371314,Unavailable,Unavailable,,
2016/10/10,22868,66638,1458,294356,Unavailable,Unavailable,Update,
2016/10/11,27371,86574,1353,296636,Unavailable,Unavailable,Update,
2016/10/12,40241,111798,1389,304648,Unavailable,Unavailable,Update,
2016/10/13,32863,101152,1353,303446,Unavailable,Unavailable,Update,
2016/10/14,29838,82386,1606,370512,Unavailable,Unavailable,,
2016/10/15,31349,65554,1646,420281,Unavailable,Unavailable,,
2016/10/16,33091,72673,1528,378252,Unavailable,Unavailable,,
2016/10/17,50388,134572,1442,287994,Unavailable,Unavailable,,EPICENTER 2016
2016/10/18,46345,139035,1357,286119,Unavailable,Unavailable,,EPICENTER 2016
2016/10/19,54961,158233,1371,294488,Unavailable,Unavailable,,EPICENTER 2016
2016/10/20,20644,45088,1343,297779,Unavailable,Unavailable,,EPICENTER 2016
2016/10/21,28187,66113,1579,354520,Unavailable,Unavailable,,EPICENTER 2016
2016/10/22,65026,146306,1596,405863,Unavailable,Unavailable,,EPICENTER 2016
2016/10/23,99065,276657,1372,363645,Unavailable,Unavailable,,EPICENTER 2016
2016/10/24,25996,49166,1349,288484,Unavailable,Unavailable,,
2016/10/25,24964,57401,1326,287177,Unavailable,Unavailable,Update,
2016/10/26,43053,130119,1291,288883,Unavailable,Unavailable,,ESL Pro League Season 4: Finals
2016/10/27,43351,127001,1266,297006,Unavailable,Unavailable,,ESL Pro League Season 4: Finals
2016/10/28,52707,148574,1443,352376,Unavailable,Unavailable,Update,ESL Pro League Season 4: Finals
2016/10/29,62220,172294,1441,388299,Unavailable,Unavailable,,ESL Pro League Season 4: Finals
2016/10/30,108366,336075,1312,377054,Unavailable,Unavailable,,ESL Pro League Season 4: Finals
2016/10/31,24545,63664,1297,330232,Unavailable,Unavailable,,
2016/11/1,30089,57955,1411,327845,4,1,Update,
2016/11/2,30633,81952,1408,314854,4,1,,
2016/11/3,32622,79273,1493,294199,4,1,,
2016/11/4,42205,82809,1612,360923,4,1,,
2016/11/5,54562,120028,1636,397580,4,1,,
2016/11/6,75306,182568,1468,348057,4,1,,
2016/11/7,37010,107924,1395,284777,4,1,,
2016/11/8,37402,121367,1420,276370,4,1,,
2016/11/9,37727,125719,1260,276870,4,1,,
2016/11/10,40321,92960,1339,288457,4,1,,
2016/11/11,40954,125087,1542,359912,4,1,,
2016/11/12,65323,175505,1669,409275,4,1,,
2016/11/13,52861,124325,1422,362651,4,1,,
2016/11/14,45137,132138,1429,289009,4,1,,
2016/11/15,33714,77530,1392,292487,4,1,,
2016/11/16,41632,150735,1307,289622,4,1,,Intel Extreme Masters XI: Oakland
2016/11/17,55121,168710,1311,291455,4,1,,Intel Extreme Masters XI: Oakland
2016/11/18,37596,121403,1561,356296,4,1,,Intel Extreme Masters XI: Oakland
2016/11/19,66234,197073,1511,408183,4,1,,Intel Extreme Masters XI: Oakland
2016/11/20,68336,219844,1331,360330,4,1,,Intel Extreme Masters XI: Oakland
2016/11/21,63496,193123,1458,286700,4,1,,
2016/11/22,29893,110455,1372,292312,4,1,,
2016/11/23,43122,118740,1502,310420,4,1,,
2016/11/24,53512,130955,1345,303208,4,1,,DreamHack Winter 2016
2016/11/25,51414,106316,1586,362397,4,1,,DreamHack Winter 2016
2016/11/26,52173,123575,1634,414253,4,1,,DreamHack Winter 2016
2016/11/27,47869,136929,1420,366462,4,1,,
2016/11/28,29807,71625,1377,287801,4,1,Update,
2016/11/29,28434,69781,1389,309071,4,1,Update,
2016/11/30,47521,196403,1359,317405,4,1,,
2016/12/1,51807,171760,12891,316153,4,2,,
2016/12/2,37021,173842,1666,375133,4,2,,
2016/12/3,45366,174396,1731,428556,4,2,,
2016/12/4,39680,162156,1460,385971,4,2,,
2016/12/5,24059,53602,1472,307121,4,2,,
2016/12/6,25681,54801,1480,310164,4,2,,
2016/12/7,24998,53677,1389,312799,4,2,Update,
2016/12/8,25322,54777,1250,387554,4,2,Update,
2016/12/9,39980,122903,1537,348515,4,2,,Esports Championship Series Season 2: Finals
2016/12/10,62028,167917,1521,398734,4,2,,Esports Championship Series Season 2: Finals
2016/12/11,78147,190459,1317,355635,4,2,,Esports Championship Series Season 2: Finals
2016/12/12,39801,167989,1338,284704,4,2,,
2016/12/13,28626,72647,1251,278288,4,2,Update,
2016/12/14,29207,59110,1278,286165,4,2,Update,
2016/12/15,65058,183422,1186,288619,4,2,,
2016/12/16,59194,170897,1398,342696,4,2,,
2016/12/17,64452,184377,1414,387553,4,2,,
2016/12/18,79169,240717,1158,355790,4,2,,
2016/12/19,37306,156103,1346,314983,4,2,,
2016/12/20,31602,62992,1306,321456,4,2,,
2016/12/21,32792,79768,1308,335030,4,2,,
2016/12/22,37635,81860,1433,349120,4,2,,
2016/12/23,35587,72007,1415,335307,4,2,,
2016/12/24,28190,45629,1023,344451,4,2,,
2016/12/25,27444,46423,1201,353918,4,2,,
2016/12/26,32210,83888,1396,361914,4,2,,
2016/12/27,39187,97800,1494,379412,4,2,,
2016/12/28,39601,83915,1562,393573,4,2,,
2016/12/29,44147,105354,1578,401452,4,2,,
2016/12/30,36781,68291,1599,402344,4,2,,
2016/12/31,31889,70690,1266,349890,4,2,,
2017/1/1,32268,80868,1393,343363,2,1,,
2017/1/2,38228,86769,1618,375387,2,1,,
2017/1/3,34672,69493,1597,375387,2,1,,
2017/1/4,34086,72999,1619,373551,2,1,,
2017/1/5,45717,123352,1667,380892,2,1,,
2017/1/6,38609,89328,1809,420694,2,1,,
2017/1/7,49545,162587,833,453152,2,1,,
2017/1/8,57467,227165,1688,402270,2,1,,
2017/1/9,48498,137456,1594,347666,2,1,,
2017/1/10,38646,78191,1577,341059,2,1,,
2017/1/11,33605,77166,1535,339831,2,1,,
2017/1/12,38056,70899,1550,331182,2,1,Update,WESG 2016: Finals
2017/1/13,48179,88226,1887,388918,2,1,,WESG 2016: Finals
2017/1/14,66273,139648,1971,507362,2,1,,WESG 2016: Finals
2017/1/15,69133,183794,1747,408848,2,1,,WESG 2016: Finals
2017/1/16,33467,67031,1832,346973,2,1,,
2017/1/17,39331,118512,1690,340843,2,1,,
2017/1/18,39707,95091,1628,349523,2,1,,
2017/1/19,33434,74371,1634,348313,2,1,Update,
2017/1/20,39743,61664,1976,402151,2,1,,
2017/1/21,39414,91284,2177,450149,2,1,,
2017/1/22,244734,746790,1494,459840,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/23,263461,740896,1370,400145,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/24,285937,764640,1288,394884,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/25,260675,737273,1376,405540,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/26,103853,435145,1600,389023,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/27,251586,770050,1583,451148,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/28,349410,877199,1619,509288,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/29,275639,1233293,1667,476112,2,1,,ELEAGUE Major: Atlanta 2017
2017/1/30,40583,92894,1763,390607,2,1,,
2017/1/31,39730,64019,1673,384134,2,1,,
2017/2/1,44359,92664,1655,383556,2,2,,
2017/2/2,48235,100612,1707,385772,2,2,,
2017/2/3,38758,64696,1937,420121,2,2,Update,
2017/2/4,69140,159993,2078,493818,2,2,,
2017/2/5,66597,153970,1703,440179,2,2,,
2017/2/6,47462,108529,1810,362512,2,2,,
2017/2/7,46091,148142,1693,364429,2,2,,
2017/2/8,50043,137327,1609,373328,2,2,,
2017/2/9,56329,130414,1822,374531,2,2,,
2017/2/10,45225,80063,1957,397449,2,2,,
2017/2/11,45872,96751,2061,494464,2,2,,
2017/2/12,50649,102044,1829,447706,2,2,,
2017/2/13,44914,84285,1776,358262,2,2,,
2017/2/14,34707,70000,1537,339043,2,2,Update,
2017/2/15,72171,244829,1584,351999,2,2,,DreamHack Masters: Las Vegas 2017
2017/2/16,90915,213045,1600,357747,2,2,Update,DreamHack Masters: Las Vegas 2018
2017/2/17,97629,256139,1829,427952,2,2,,DreamHack Masters: Las Vegas 2019
2017/2/18,111681,318982,1895,480071,2,2,,DreamHack Masters: Las Vegas 2020
2017/2/19,159940,459482,1624,438461,2,2,,DreamHack Masters: Las Vegas 2021
2017/2/20,108268,372726,1867,363608,2,2,,
2017/2/21,40511,85570,1718,426762,2,2,,
2017/2/22,45269,112707,1747,386617,2,2,,
2017/2/23,49091,102503,1647,345819,2,2,,
2017/2/24,43473,78981,1831,439094,2,2,,
2017/2/25,43993,82150,2026,482285,2,2,,
2017/2/26,52213,136033,1760,431809,2,2,,
