Date,Average Viewers,Peak Viewers,Peak Channels,Game Rank (Total),Game Updates
2016/9/8,-1,-1,-1,Unavailable,
2016/9/9,-1,-1,-1,Unavailable,
2016/9/10,-1,-1,-1,Unavailable,
2016/9/11,-1,-1,-1,Unavailable,
2016/9/12,8437,13544,1066,Unavailable,
2016/9/13,13839,68506,1331,Unavailable,
2016/9/14,8628,13223,1490,Unavailable,
2016/9/15,9149,20902,1195,Unavailable,
2016/9/16,11955,20406,1271,Unavailable,
2016/9/17,9280,15220,1539,Unavailable,
2016/9/18,11775,17176,1434,Unavailable,
2016/9/19,10690,16592,1278,Unavailable,Hot Fix
2016/9/20,37296,105335,5970,Unavailable,Update
2016/9/21,20829,28030,3940,Unavailable,
2016/9/22,19379,26094,2333,Unavailable,
2016/9/23,41203,140031,5722,Unavailable,
2016/9/24,19467,39400,3828,Unavailable,
2016/9/25,16723,25301,2391,Unavailable,
2016/9/26,14231,22272,1843,Unavailable,
2016/9/27,15290,21821,1731,Unavailable,
2016/9/28,15566,23671,1882,Unavailable,
2016/9/29,12492,20208,1822,Unavailable,Hot Fix
2016/9/30,17103,38982,2400,Unavailable,
2016/10/1,18087,27096,2568,Unavailable,
2016/10/2,16708,23487,2454,Unavailable,
2016/10/3,16801,23473,2235,Unavailable,
2016/10/4,15763,23445,2060,Unavailable,
2016/10/5,10872,17242,2127,Unavailable,
2016/10/6,10469,15413,1730,Unavailable,
2016/10/7,13787,26374,2098,Unavailable,
2016/10/8,15016,20010,2484,Unavailable,
2016/10/9,16129,24475,2257,Unavailable,
2016/10/10,16070,23580,1770,Unavailable,
2016/10/11,11749,20052,1815,Unavailable,Update
2016/10/12,8634,16151,1441,Unavailable,
2016/10/13,8568,13002,1310,Unavailable,
2016/10/14,12777,25293,1977,Unavailable,
2016/10/15,14455,20336,2288,Unavailable,
2016/10/16,14667,22262,2062,Unavailable,
2016/10/17,14530,21515,1854,Unavailable,
2016/10/18,20878,92396,2483,Unavailable,Update
2016/10/19,12427,35267,2301,Unavailable,
2016/10/20,8275,14988,1285,Unavailable,
2016/10/21,11987,24668,1790,Unavailable,
2016/10/22,14410,20417,2174,Unavailable,
2016/10/23,14766,21398,2035,Unavailable,
2016/10/24,13798,22429,1692,Unavailable,
2016/10/25,11375,17566,1708,Unavailable,
2016/10/26,7968,13962,1357,Unavailable,
2016/10/27,7230,11175,1177,Unavailable,
2016/10/28,11446,27260,1733,Unavailable,
2016/10/29,14120,23521,1924,Unavailable,
2016/10/30,14456,19643,1695,Unavailable,
2016/10/31,12007,18485,1516,Unavailable,
2016/11/1,10684,22666,1312,11,
2016/11/2,7768,12589,1152,11,
2016/11/3,6833,13568,1059,11,
2016/11/4,9383,21589,1607,11,
2016/11/5,11549,17485,1816,11,
2016/11/6,11014,15280,1860,11,
2016/11/7,9792,15453,1321,11,
2016/11/8,10342,14551,1499,11,Hot Fix
2016/11/9,6610,12293,1466,11,
2016/11/10,6345,9859,1122,11,
2016/11/11,10202,23631,2278,11,
2016/11/12,13004,22424,2341,11,
2016/11/13,12868,22450,2071,11,
2016/11/14,9106,14107,1744,11,
2016/11/15,7112,12414,1636,11,
2016/11/16,5692,16815,1666,11,
2016/11/17,4925,8329,2038,11,
2016/11/18,8352,16309,3363,11,
2016/11/19,11272,17971,3521,11,
2016/11/20,11473,16759,3375,11,
2016/11/21,9613,14387,3120,11,
2016/11/22,7335,13561,3127,11,
2016/11/23,5330,8355,3053,11,
2016/11/24,4830,6907,2956,11,
2016/11/25,7761,16894,4342,11,
2016/11/26,11564,16235,4036,11,
2016/11/27,11355,15493,3722,11,
2016/11/28,8787,14842,3334,11,
2016/11/29,5991,12593,2903,11,
2016/11/30,4086,6707,2289,11,
2016/12/1,3431,7481,2089,10,
2016/12/2,7325,17370,3537,10,
2016/12/3,11069,16263,3830,10,
2016/12/4,12522,18982,3558,10,
2016/12/5,9843,14474,3161,10,
2016/12/6,7318,15009,2985,10,
2016/12/7,5739,9241,3204,10,
2016/12/8,5553,8467,2817,10,
2016/12/9,7881,16696,3778,10,
2016/12/10,11430,16868,3861,10,
2016/12/11,12252,17433,3657,10,
2016/12/12,10312,15200,3142,10,
2016/12/13,11341,28192,4151,10,Update
2016/12/14,8807,13328,4058,10,
2016/12/15,6264,9898,3073,10,
2016/12/16,8444,17413,3673,10,
2016/12/17,11134,16622,3576,10,
2016/12/18,12701,22501,3296,10,
2016/12/19,10452,14678,2951,10,
2016/12/20,8539,16095,2820,10,
2016/12/21,5363,9068,2377,10,
2016/12/22,5437,9143,2192,10,
2016/12/23,7986,16815,3199,10,
2016/12/24,9855,16580,2953,10,
2016/12/25,8183,10995,1874,10,
2016/12/26,9195,14723,2369,10,
2016/12/27,8407,16406,2356,10,
2016/12/28,5376,8808,2106,10,
2016/12/29,5397,8224,2042,10,
2016/12/30,9313,20880,3047,10,
2016/12/31,11271,18886,2832,10,
2017/1/1,10606,19314,2612,12,
2017/1/2,11897,17241,2641,12,
2017/1/3,7932,14748,2609,12,
2017/1/4,4640,7388,1830,12,
2017/1/5,4750,7818,1770,12,
2017/1/6,7961,17922,3014,12,
2017/1/7,11939,17919,3041,12,
2017/1/8,12074,16704,2918,12,
2017/1/9,10185,16161,2468,12,
2017/1/10,6478,13276,2166,12,
2017/1/11,4237,7077,1740,12,
2017/1/12,4227,6517,1642,12,
2017/1/13,8290,20422,2878,12,
2017/1/14,11557,15545,2919,12,
2017/1/15,10320,15066,2673,12,
2017/1/16,10918,18747,2390,12,
2017/1/17,8056,16379,2305,12,Hot Fix
2017/1/18,6551,12074,2516,12,
2017/1/19,5943,11544,2114,12,
2017/1/20,8724,19469,2900,12,
2017/1/21,12096,17684,3088,12,
2017/1/22,12476,16398,2908,12,
2017/1/23,10594,16228,2394,12,
2017/1/24,7404,16007,2226,12,
2017/1/25,4240,8709,1554,12,
2017/1/26,4344,11149,1478,12,
2017/1/27,7884,17446,2697,12,
2017/1/28,11623,17969,2831,12,
2017/1/29,11758,16158,2784,12,
2017/1/30,9853,14951,2368,12,
2017/1/31,7486,14897,2106,12,
2017/2/1,4039,7087,1609,14,
2017/2/2,4731,7898,1485,14,
2017/2/3,7823,18661,2678,14,
2017/2/4,11680,17985,2901,14,
2017/2/5,11759,17515,2701,14,
2017/2/6,9616,14817,1986,14,
2017/2/7,7257,16342,2003,14,
2017/2/8,7740,61286,1576,14,
2017/2/9,4951,7993,1485,14,
2017/2/10,7866,18940,2555,14,
2017/2/11,11381,16900,2647,14,
2017/2/12,12320,18320,2398,14,
2017/2/13,10034,18147,2186,14,
2017/2/14,9344,18564,1996,14,Hot Fix
2017/2/15,6460,11540,1460,14,
2017/2/16,6063,8690,1383,14,
2017/2/17,8725,18796,2393,14,
2017/2/18,11661,16759,2475,14,
2017/2/19,11670,15128,2281,14,
2017/2/20,10603,15515,2139,14,
2017/2/21,7487,17151,2040,14,
2017/2/22,5141,9465,1449,14,
2017/2/23,4682,7019,1385,14,
2017/2/24,8109,18045,2196,14,Hot Fix
2017/2/25,11004,16853,2364,14,
2017/2/26,11165,16045,2257,14,
2017/2/27,9405,13964,1992,14,
2017/2/28,6455,14319,1835,14,
2017/3/1,3846,7191,1532,12,
2017/3/2,3339,5747,1343,12,
2017/3/3,6079,13587,2070,12,
2017/3/4,9341,14918,2201,12,
2017/3/5,9167,12885,2018,12,
2017/3/6,7681,12180,1743,12,
2017/3/7,5144,11170,1601,12,
2017/3/8,8833,107657,1046,12,
2017/3/9,3877,6137,1172,12,
2017/3/10,7033,16449,2119,12,
2017/3/11,10536,14891,2269,12,
2017/3/12,10047,14566,2113,12,
2017/3/13,9005,14940,1931,12,
2017/3/14,6055,14021,1886,12,
2017/3/15,6308,56771,1430,12,
2017/3/16,3784,7274,1293,12,
2017/3/17,6275,15382,2237,12,
2017/3/18,9525,15982,2287,12,
2017/3/19,9475,14714,2159,12,
2017/3/20,8339,13021,1960,12,
2017/3/21,5833,12282,1766,12,
2017/3/22,7157,80545,1273,12,
2017/3/23,5928,9986,1305,12,
2017/3/24,7993,17707,2324,12,
2017/3/25,10120,15958,2376,12,
2017/3/26,10954,16819,2211,12,
2017/3/27,10322,16976,2015,12,
2017/3/28,19341,56933,4818,12,
2017/3/29,12129,19678,3846,12,
2017/3/30,11969,34818,2276,12,
2017/3/31,10538,19214,2656,12,
2017/4/1,13651,19868,2872,10,
2017/4/2,13798,19469,2617,10,
2017/4/3,11676,17745,2044,10,
2017/4/4,15336,24898,2252,10,
2017/4/5,10079,16119,2563,10,
2017/4/6,9900,15613,1946,10,
2017/4/7,11538,20310,2316,10,
2017/4/8,12920,19764,2608,10,
2017/4/9,13240,17633,2356,10,
2017/4/10,12813,17684,2080,10,
2017/4/11,13617,18786,2063,10,
2017/4/12,8502,12632,2258,10,
2017/4/13,8427,13295,1721,10,
2017/4/14,11470,19643,2354,10,
2017/4/15,11759,16563,2252,10,
2017/4/16,11551,16277,2088,10,
2017/4/17,11982,15888,1965,10,
2017/4/18,11103,16764,1932,10,
2017/4/19,6341,10948,1604,10,
2017/4/20,6799,10760,1358,10,
2017/4/21,9290,18703,2149,10,
2017/4/22,12569,1825,2313,10,
2017/4/23,12048,17764,2124,10,
2017/4/24,11081,16124,1811,10,
2017/4/25,8443,16925,1826,10,
2017/4/26,6307,11875,1533,10,
2017/4/27,5463,8530,1351,10,
2017/4/28,9275,18779,2057,10,
2017/4/29,11306,16242,2398,10,
2017/4/30,12329,17736,2210,10,
2017/5/1,11898,18298,1984,14,
2017/5/2,9285,1598,1743,14,
2017/5/3,6040,10424,1521,14,
2017/5/4,5862,9823,1244,14,
2017/5/5,9284,19894,1979,14,
2017/5/6,11047,17527,2211,14,
2017/5/7,12104,18333,1997,14,
2017/5/8,10579,18448,1815,14,
2017/5/9,8826,15034,1738,14,
2017/5/10,6216,11440,1711,14,
2017/5/11,5863,8962,1426,14,
2017/5/12,8436,18542,2067,14,
2017/5/13,11240,17565,2296,14,
2017/5/14,10095,12611,2035,14,
