Date,Average Viewers,Peak Viewers,Peak Channels,Game Rank (Total),Game Updates
2016/9/8,-1,-1,-1,Unavailable,
2016/9/9,-1,-1,-1,Unavailable,
2016/9/10,-1,-1,-1,Unavailable,
2016/9/11,-1,-1,-1,Unavailable,
2016/9/12,-1,-1,-1,Unavailable,
2016/9/13,-1,-1,-1,Unavailable,
2016/9/14,-1,-1,-1,Unavailable,
2016/9/15,-1,-1,-1,Unavailable,
2016/9/16,-1,-1,-1,Unavailable,
2016/9/17,-1,-1,-1,Unavailable,
2016/9/18,-1,-1,-1,Unavailable,
2016/9/19,-1,-1,-1,Unavailable,
2016/9/20,-1,-1,-1,Unavailable,
2016/9/21,-1,-1,-1,Unavailable,
2016/9/22,-1,-1,-1,Unavailable,
2016/9/23,-1,-1,-1,Unavailable,
2016/9/24,-1,-1,-1,Unavailable,
2016/9/25,-1,-1,-1,Unavailable,
2016/9/26,-1,-1,-1,Unavailable,
2016/9/27,-1,-1,-1,Unavailable,
2016/9/28,-1,-1,-1,Unavailable,
2016/9/29,-1,-1,-1,Unavailable,
2016/9/30,-1,-1,-1,Unavailable,
2016/10/1,-1,-1,-1,Unavailable,
2016/10/2,-1,-1,-1,Unavailable,
2016/10/3,-1,-1,-1,Unavailable,
2016/10/4,-1,-1,-1,Unavailable,
2016/10/5,-1,-1,-1,Unavailable,
2016/10/6,-1,-1,-1,Unavailable,
2016/10/7,-1,-1,-1,Unavailable,
2016/10/8,-1,-1,-1,Unavailable,
2016/10/9,-1,-1,-1,Unavailable,
2016/10/10,-1,-1,-1,Unavailable,
2016/10/11,-1,-1,-1,Unavailable,
2016/10/12,-1,-1,-1,Unavailable,
2016/10/13,-1,-1,-1,Unavailable,
2016/10/14,-1,-1,-1,Unavailable,
2016/10/15,-1,-1,-1,Unavailable,
2016/10/16,-1,-1,-1,Unavailable,
2016/10/17,-1,-1,-1,Unavailable,
2016/10/18,-1,-1,-1,Unavailable,
2016/10/19,-1,-1,-1,Unavailable,
2016/10/20,-1,-1,-1,Unavailable,
2016/10/21,-1,-1,-1,Unavailable,
2016/10/22,-1,-1,-1,Unavailable,
2016/10/23,-1,-1,-1,Unavailable,
2016/10/24,-1,-1,-1,Unavailable,
2016/10/25,-1,-1,-1,Unavailable,
2016/10/26,-1,-1,-1,Unavailable,
2016/10/27,-1,-1,-1,Unavailable,
2016/10/28,-1,-1,-1,Unavailable,
2016/10/29,-1,-1,-1,Unavailable,
2016/10/30,-1,-1,-1,Unavailable,
2016/10/31,-1,-1,-1,Unavailable,
2016/11/1,-1,-1,-1,Unavailable,
2016/11/2,-1,-1,-1,Unavailable,
2016/11/3,-1,-1,-1,Unavailable,
2016/11/4,-1,-1,-1,Unavailable,
2016/11/5,-1,-1,-1,Unavailable,
2016/11/6,-1,-1,-1,Unavailable,
2016/11/7,-1,-1,-1,Unavailable,
2016/11/8,-1,-1,-1,Unavailable,
2016/11/9,-1,-1,-1,Unavailable,
2016/11/10,-1,-1,-1,Unavailable,
2016/11/11,-1,-1,-1,Unavailable,
2016/11/12,-1,-1,-1,Unavailable,
2016/11/13,-1,-1,-1,Unavailable,
2016/11/14,-1,-1,-1,Unavailable,
2016/11/15,-1,-1,-1,Unavailable,
2016/11/16,-1,-1,-1,Unavailable,
2016/11/17,-1,-1,-1,Unavailable,
2016/11/18,-1,-1,-1,Unavailable,
2016/11/19,-1,-1,-1,Unavailable,
2016/11/20,-1,-1,-1,Unavailable,
2016/11/21,-1,-1,-1,Unavailable,
2016/11/22,-1,-1,-1,Unavailable,
2016/11/23,-1,-1,-1,Unavailable,
2016/11/24,-1,-1,-1,Unavailable,
2016/11/25,-1,-1,-1,Unavailable,
2016/11/26,-1,-1,-1,Unavailable,
2016/11/27,-1,-1,-1,Unavailable,
2016/11/28,-1,-1,-1,Unavailable,
2016/11/29,-1,-1,-1,Unavailable,
2016/11/30,-1,-1,-1,Unavailable,
2016/12/1,-1,-1,-1,Unavailable,
2016/12/2,-1,-1,-1,Unavailable,
2016/12/3,-1,-1,-1,Unavailable,
2016/12/4,-1,-1,-1,Unavailable,
2016/12/5,-1,-1,-1,Unavailable,
2016/12/6,-1,-1,-1,Unavailable,
2016/12/7,-1,-1,-1,Unavailable,
2016/12/8,-1,-1,-1,Unavailable,
2016/12/9,-1,-1,-1,Unavailable,
2016/12/10,-1,-1,-1,Unavailable,
2016/12/11,-1,-1,-1,Unavailable,
2016/12/12,-1,-1,-1,Unavailable,
2016/12/13,-1,-1,-1,Unavailable,
2016/12/14,-1,-1,-1,Unavailable,
2016/12/15,-1,-1,-1,Unavailable,
2016/12/16,-1,-1,-1,Unavailable,
2016/12/17,-1,-1,-1,Unavailable,
2016/12/18,-1,-1,-1,Unavailable,
2016/12/19,-1,-1,-1,Unavailable,
2016/12/20,-1,-1,-1,Unavailable,
2016/12/21,-1,-1,-1,Unavailable,
2016/12/22,-1,-1,-1,Unavailable,
2016/12/23,-1,-1,-1,Unavailable,
2016/12/24,-1,-1,-1,Unavailable,
2016/12/25,-1,-1,-1,Unavailable,
2016/12/26,-1,-1,-1,Unavailable,
2016/12/27,-1,-1,-1,Unavailable,
2016/12/28,-1,-1,-1,Unavailable,
2016/12/29,-1,-1,-1,Unavailable,
2016/12/30,-1,-1,-1,Unavailable,
2016/12/31,-1,-1,-1,Unavailable,
2017/1/1,-1,-1,-1,Unavailable,
2017/1/2,-1,-1,-1,Unavailable,
2017/1/3,-1,-1,-1,Unavailable,
2017/1/4,-1,-1,-1,Unavailable,
2017/1/5,-1,-1,-1,Unavailable,
2017/1/6,-1,-1,-1,Unavailable,
2017/1/7,-1,-1,-1,Unavailable,
2017/1/8,-1,-1,-1,Unavailable,
2017/1/9,-1,-1,-1,Unavailable,
2017/1/10,-1,-1,-1,Unavailable,
2017/1/11,-1,-1,-1,Unavailable,
2017/1/12,-1,-1,-1,Unavailable,
2017/1/13,-1,-1,-1,Unavailable,
2017/1/14,-1,-1,-1,Unavailable,
2017/1/15,-1,-1,-1,Unavailable,
2017/1/16,-1,-1,-1,Unavailable,
2017/1/17,-1,-1,-1,Unavailable,
2017/1/18,-1,-1,-1,Unavailable,
2017/1/19,-1,-1,-1,Unavailable,
2017/1/20,-1,-1,-1,Unavailable,
2017/1/21,-1,-1,-1,Unavailable,
2017/1/22,-1,-1,-1,Unavailable,
2017/1/23,-1,-1,-1,Unavailable,
2017/1/24,-1,-1,-1,Unavailable,
2017/1/25,-1,-1,-1,Unavailable,
2017/1/26,-1,-1,-1,Unavailable,
2017/1/27,-1,-1,-1,Unavailable,
2017/1/28,-1,-1,-1,Unavailable,
2017/1/29,-1,-1,-1,Unavailable,
2017/1/30,-1,-1,-1,Unavailable,
2017/1/31,-1,-1,-1,Unavailable,
2017/2/1,-1,-1,-1,Unavailable,
2017/2/2,-1,-1,-1,Unavailable,
2017/2/3,-1,-1,-1,Unavailable,
2017/2/4,-1,-1,-1,Unavailable,
2017/2/5,-1,-1,-1,Unavailable,
2017/2/6,-1,-1,-1,Unavailable,
2017/2/7,-1,-1,-1,Unavailable,
2017/2/8,-1,-1,-1,Unavailable,
2017/2/9,-1,-1,-1,Unavailable,
2017/2/10,-1,-1,-1,Unavailable,
2017/2/11,-1,-1,-1,Unavailable,
2017/2/12,-1,-1,-1,Unavailable,
2017/2/13,-1,-1,-1,Unavailable,
2017/2/14,-1,-1,-1,Unavailable,
2017/2/15,-1,-1,-1,Unavailable,
2017/2/16,-1,-1,-1,Unavailable,
2017/2/17,-1,-1,-1,Unavailable,
2017/2/18,-1,-1,-1,Unavailable,
2017/2/19,-1,-1,-1,Unavailable,
2017/2/20,-1,-1,-1,Unavailable,
2017/2/21,-1,-1,-1,Unavailable,
2017/2/22,-1,-1,-1,Unavailable,
2017/2/23,-1,-1,-1,Unavailable,
2017/2/24,-1,-1,-1,Unavailable,
2017/2/25,-1,-1,-1,Unavailable,
2017/2/26,-1,-1,-1,Unavailable,
2017/2/27,-1,-1,-1,Unavailable,
2017/2/28,-1,-1,-1,Unavailable,
2017/3/1,-1,-1,-1,Unavailable,
2017/3/2,-1,-1,-1,Unavailable,
2017/3/3,-1,-1,-1,Unavailable,
2017/3/4,-1,-1,-1,Unavailable,
2017/3/5,-1,-1,-1,Unavailable,
2017/3/6,-1,-1,-1,Unavailable,
2017/3/7,-1,-1,-1,Unavailable,
2017/3/8,-1,-1,-1,Unavailable,
2017/3/9,-1,-1,-1,Unavailable,
2017/3/10,-1,-1,-1,Unavailable,
2017/3/11,-1,-1,-1,Unavailable,
2017/3/12,-1,-1,-1,Unavailable,
2017/3/13,-1,-1,-1,Unavailable,
2017/3/14,-1,-1,-1,Unavailable,
2017/3/15,-1,-1,-1,Unavailable,
2017/3/16,-1,-1,-1,Unavailable,
2017/3/17,-1,-1,-1,Unavailable,
2017/3/18,-1,-1,-1,Unavailable,
2017/3/19,-1,-1,-1,Unavailable,
2017/3/20,-1,-1,-1,Unavailable,
2017/3/21,-1,-1,-1,Unavailable,
2017/3/22,-1,-1,-1,Unavailable,
2017/3/23,-1,-1,-1,Unavailable,
2017/3/24,-1,-1,-1,Unavailable,
2017/3/25,-1,-1,-1,Unavailable,
2017/3/26,-1,-1,-1,Unavailable,
2017/3/27,-1,-1,-1,Unavailable,
2017/3/28,-1,-1,-1,Unavailable,
2017/3/29,-1,-1,-1,Unavailable,
2017/3/30,-1,-1,-1,Unavailable,
2017/3/31,-1,-1,-1,Unavailable,
2017/4/1,-1,-1,-1,Unavailable,
2017/4/2,-1,-1,-1,Unavailable,
2017/4/3,-1,-1,-1,Unavailable,
2017/4/4,-1,-1,-1,Unavailable,
2017/4/5,-1,-1,-1,Unavailable,
2017/4/6,-1,-1,-1,Unavailable,
2017/4/7,-1,-1,-1,Unavailable,
2017/4/8,-1,-1,-1,Unavailable,
2017/4/9,-1,-1,-1,Unavailable,
2017/4/10,-1,-1,-1,Unavailable,
2017/4/11,-1,-1,-1,Unavailable,
