Date,Average Viewers,Peak viewers,Peak Channels,Game Rank (Total Hours),Game Rank (Esports Hours),Game Updates,Events,Competitive Seasons,Esports Schedule
2016/9/8,,42012,,Unavailable,Unavailable,,,Season 2,
2016/9/9,20967,32674,1608,Unavailable,Unavailable,,,Season 2,
2016/9/10,24572,36279,2022,Unavailable,Unavailable,,,Season 2,
2016/9/11,26554,47186,1967,Unavailable,Unavailable,,,Season 2,
2016/9/12,27223,74964,1595,Unavailable,Unavailable,,,Season 2,
2016/9/13,19900,35148,1398,Unavailable,Unavailable,Bug Fix,,Season 2,
2016/9/14,28036,73234,1236,Unavailable,Unavailable,,,Season 2,
2016/9/15,22893,38133,1258,Unavailable,Unavailable,,,Season 2,
2016/9/16,20107,35747,1202,Unavailable,Unavailable,,,Season 2,
2016/9/17,23397,53795,1360,Unavailable,Unavailable,,,Season 2,
2016/9/18,18230,34003,1245,Unavailable,Unavailable,,,Season 2,
2016/9/19,16967,42536,1073,Unavailable,Unavailable,,,Season 2,
2016/9/20,18790,29759,1223,Unavailable,Unavailable,,,Season 2,
2016/9/21,15348,27067,1064,Unavailable,Unavailable,,,Season 2,
2016/9/22,18588,30372,1118,Unavailable,Unavailable,,,Season 2,
2016/9/23,18396,32363,1095,Unavailable,Unavailable,Bug Fix,,Season 2,
2016/9/24,18696,31207,1303,Unavailable,Unavailable,,,Season 2,
2016/9/25,27045,57377,1196,Unavailable,Unavailable,,,Season 2,
2016/9/26,24101,53925,1017,Unavailable,Unavailable,,,Season 2,
2016/9/27,16544,21650,1019,Unavailable,Unavailable,,,Season 2,
2016/9/28,23862,40627,1020,Unavailable,Unavailable,,,Season 2,
2016/9/29,27161,59300,1078,Unavailable,Unavailable,,,Season 2,
2016/9/30,15420,26981,1035,Unavailable,Unavailable,Bug Fix,,Season 2,
2016/10/1,16354,42873,1177,Unavailable,Unavailable,,,Season 2,
2016/10/2,13883,20066,1113,Unavailable,Unavailable,,,Season 2,
2016/10/3,15314,31688,948,Unavailable,Unavailable,,,Season 2,
2016/10/4,17542,29594,1045,Unavailable,Unavailable,,,Season 2,
2016/10/5,14841,24653,971,Unavailable,Unavailable,,,Season 2,
2016/10/6,17201,30415,1018,Unavailable,Unavailable,,,Season 2,APAC 2016
2016/10/7,17345,27508,1027,Unavailable,Unavailable,,,Season 2,APAC 2016; Apex Season 1: Group Stage
2016/10/8,18464,28768,1159,Unavailable,Unavailable,,,Season 2,APAC 2016
2016/10/9,12847,23978,1068,Unavailable,Unavailable,,,Season 2,
2016/10/10,16941,35689,1027,Unavailable,Unavailable,,,Season 2,Apex Season 1: Group Stage
2016/10/11,20960,61434,1879,Unavailable,Unavailable,Update,Holloween Terror,Season 2,
2016/10/12,22198,34929,2047,Unavailable,Unavailable,,Holloween Terror,Season 2,Apex Season 1: Group Stage
2016/10/13,20825,32845,1547,Unavailable,Unavailable,,Holloween Terror,Season 2,APAC 2016
2016/10/14,19054,28126,1433,Unavailable,Unavailable,,Holloween Terror,Season 2,APAC 2016; Apex Season 1: Group Stage
2016/10/15,19423,29274,1595,Unavailable,Unavailable,,Holloween Terror,Season 2,APAC 2016
2016/10/16,18037,35831,1383,Unavailable,Unavailable,,Holloween Terror,Season 2,APAC 2016
2016/10/17,19196,30927,1274,Unavailable,Unavailable,,Holloween Terror,Season 2,Apex Season 1: Group Stage
2016/10/18,22824,43103,1292,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/19,18721,30058,1280,Unavailable,Unavailable,Bug Fix,Holloween Terror,Season 2,Apex Season 1: Group Stage
2016/10/20,18077,28296,1199,Unavailable,Unavailable,Bug Fix,Holloween Terror,Season 2,
2016/10/21,18173,31928,1237,Unavailable,Unavailable,,Holloween Terror,Season 2,Apex Season 1: Group Stage
2016/10/22,17817,30203,1373,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/23,17121,31920,1222,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/24,15600,30744,1037,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/25,18108,29366,1148,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/26,17199,35877,1085,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/27,17175,31640,1113,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/28,21364,36874,1106,Unavailable,Unavailable,,Holloween Terror,Season 2,
2016/10/29,31432,101719,1215,Unavailable,Unavailable,,Holloween Terror,Season 2,World Cup 2016
2016/10/30,38866,118438,1035,Unavailable,Unavailable,,Holloween Terror,Season 2,World Cup 2016
2016/10/31,37651,108503,1033,Unavailable,Unavailable,,Holloween Terror,Season 2,World Cup 2016
2016/11/1,31977,89581,1201,5,6,,Holloween Terror,Season 2,
2016/11/2,19814,39258,1047,5,6,,,Season 2,
2016/11/3,25209,37926,1122,5,6,,,Season 2,
2016/11/4,58240,247288,1082,5,6,,,Season 2,World Cup 2016
2016/11/5,49019,212352,1471,5,6,,,Season 2,World Cup 2016
2016/11/6,22722,40847,1482,5,6,,,Season 2,
2016/11/7,27535,54882,1337,5,6,,,Season 2,
2016/11/8,36044,56174,1523,5,6,,,Season 2,
2016/11/9,24806,40300,1180,5,6,,,Season 2,Apex Season 1: Group Stage
2016/11/10,28772,46823,1242,5,6,,,Season 2,
2016/11/11,29212,43406,1292,5,6,,,Season 2,Apex Season 1: Group Stage
2016/11/12,25880,45380,1447,5,6,,,Season 2,
2016/11/13,28963,40455,1351,5,6,,,Season 2,
2016/11/14,30323,61400,1111,5,6,,,Season 2,Apex Season 1: Group Stage
2016/11/15,31304,44623,1381,5,6,Update,,Season 2,Apex Season 1: Group Stage
2016/11/16,32257,62707,1642,5,6,Bug Fix,,Season 2,Apex Season 1: Group Stage
2016/11/17,28148,40210,1512,5,6,,,Season 2,
2016/11/18,27561,40994,1807,5,6,,,Season 2,Apex Season 1: QuarterFinals
2016/11/19,30869,41064,2089,5,6,,,Season 2,
2016/11/20,29934,46035,1986,5,6,,,Season 2,
2016/11/21,27933,49212,1474,5,6,,,Season 2,Apex Season 1: QuarterFinals
2016/11/22,29260,49086,1486,5,6,,,Season 2,
2016/11/23,31604,51691,1515,5,6,,,Season 2,Apex Season 1: SemiFinals
2016/11/24,19084,35686,1235,5,6,,,Season 2,
2016/11/25,22514,40134,1220,5,6,,,,Apex Season 1: SemiFinals; DreamHack Winter 2016
2016/11/26,31584,82126,1290,5,6,,,,DreamHack Winter 2016
2016/11/27,16397,21838,1350,5,6,,,,
2016/11/28,15806,21666,1181,5,6,,,,
2016/11/29,17898,33270,1248,5,6,,,,
2016/11/30,18420,34678,1157,5,6,Bug Fix,,Season 3,
2016/12/1,41315,65482,2222,5,5,,,Season 3,
2016/12/2,26506,44583,1668,5,5,,,Season 3,
2016/12/3,26941,49108,1961,5,5,,,Season 3,Apex Season 1: Final
2016/12/4,27670,43010,1737,5,5,,,Season 3,
2016/12/5,25520,47480,1361,5,5,,,Season 3,
2016/12/6,29560,58736,1567,5,5,,,Season 3,
2016/12/7,29921,49309,1577,5,5,,,Season 3,
2016/12/8,29503,48371,1588,5,5,,,Season 3,
2016/12/9,25800,44800,1494,5,5,,,Season 3,
2016/12/10,27700,47949,1770,5,5,,,Season 3,
2016/12/11,26467,47749,1612,5,5,,,Season 3,
2016/12/12,29258,56078,1362,5,5,,,Season 3,
2016/12/13,36155,90315,2288,5,5,Update,Winter Wonderland ,Season 3,
2016/12/14,35196,51662,2191,5,5,,Winter Wonderland ,Season 3,
2016/12/15,30625,46344,1824,5,5,,Winter Wonderland ,Season 3,
2016/12/16,32309,53513,1656,5,5,,Winter Wonderland ,Season 3,Intel Extreme Masters Season XI Gyeonggi; Major League Gaming Vegas 2016
2016/12/17,33172,48289,1784,5,5,,Winter Wonderland ,Season 3,Intel Extreme Masters Season XI Gyeonggi; Major League Gaming Vegas 2017
2016/12/18,28364,49795,1672,5,5,,Winter Wonderland ,Season 3,Intel Extreme Masters Season XI Gyeonggi; Major League Gaming Vegas 2018
2016/12/19,28270,60310,1404,5,5,,Winter Wonderland ,Season 3,
2016/12/20,31483,45941,1680,5,5,Bug Fix,Winter Wonderland ,Season 3,
2016/12/21,29403,50377,1675,5,5,,Winter Wonderland ,Season 3,
2016/12/22,32542,54335,1620,5,5,,Winter Wonderland ,Season 3,
2016/12/23,29011,49177,1573,5,5,,Winter Wonderland ,Season 3,
2016/12/24,28295,45410,1410,5,5,,Winter Wonderland ,Season 3,
2016/12/25,22245,32968,1135,5,5,,Winter Wonderland ,Season 3,
2016/12/26,28915,51548,1490,5,5,,Winter Wonderland ,Season 3,
2016/12/27,30775,59980,1639,5,5,,Winter Wonderland ,Season 3,
2016/12/28,30020,48896,1705,5,5,,Winter Wonderland ,Season 3,
2016/12/29,33350,56212,1776,5,5,,Winter Wonderland ,Season 3,
2016/12/30,31109,45530,1843,5,5,,Winter Wonderland ,Season 3,
2016/12/31,26703,40074,1694,5,5,,Winter Wonderland ,Season 3,
2017/1/1,30690,62241,1603,5,7,,Winter Wonderland ,Season 3,
2017/1/2,39053,85570,1872,5,7,,Winter Wonderland ,Season 3,
2017/1/3,43024,88338,1901,5,7,Update,,Season 3,Overwatch Winter Premiere
2017/1/4,39018,69224,1869,5,7,,,Season 3,Overwatch Winter Premiere
2017/1/5,46829,71288,1942,5,7,,,Season 3,Overwatch Winter Premiere
2017/1/6,42825,67435,1825,5,7,,,Season 3,
2017/1/7,45967,78927,2115,5,7,,,Season 3,
2017/1/8,37129,54717,2068,5,7,,,Season 3,
2017/1/9,28471,62914,1779,5,7,,,Season 3,
2017/1/10,35761,62509,1788,5,7,,,Season 3,Overwatch Winter Premiere
2017/1/11,32998,65842,1869,5,7,,,Season 3,Overwatch Winter Premiere
2017/1/12,33175,51917,1800,5,7,Bug Fix,,Season 3,Overwatch Winter Premiere
2017/1/13,30899,53861,1847,5,7,,,Season 3,
2017/1/14,31492,49293,2111,5,7,,,Season 3,
2017/1/15,27752,52134,1964,5,7,,,Season 3,
2017/1/16,34502,66645,1838,5,7,,,Season 3,
2017/1/17,36680,53894,1901,5,7,,,Season 3,Overwatch Winter Premiere; Apex Season 2: Group Stage
2017/1/18,35482,65408,1759,5,7,,,Season 3,Overwatch Winter Premiere
